
BA    1   CR         0   TR  0   CH 16   Text type 3: "General MIDI Authoring Template"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Use this template to create new GM compatiable MIDI files.\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "MIDI file publishers and hardware manufacturers, such as Roland Corp. and Tune 1000 have introduced more detailed conventions for authoring standard MIDI files for GM devices. These conventions are intended to produce consistent, error-free results when \n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Song Tempo should remain within the range of 30-240bpm\n"
BA    3   CR     2+1/2   TR  0   CH  4   NT  E             3/8
BA    3   CR     2+1/2   TR  0   CH  4   NT  G             3/8
BA    3   CR         3   TR  0   CH  3   NT  D-              1
BA    3   CR         3   TR  0   CH  4   NT  A-            3/8
BA    3   CR         3   TR  0   CH  4   NT  D             3/8
BA    3   CR         3   TR  0   CH  4   NT  F#            3/8
BA    3   CR     3+1/2   TR  0   CH  4   NT  B-            3/8
BA    3   CR     3+1/2   TR  0   CH  4   NT  E             3/8
BA    3   CR     3+1/2   TR  0   CH  4   NT  G             3/8

BA    4   CR         0   TR  0   CH  3   NT  Eb-             4
BA    4   CR         0   TR  0   CH  4   NT  A             3/8
BA    4   CR         0   TR  0   CH  4   NT  F             3/8
BA    4   CR         0   TR  0   CH  4   NT  C             3/8
BA    4   CR       1/2   TR  0   CH  4   NT  Bb            3/8
BA    4   CR       1/2   TR  0   CH  4   NT  F             3/8
BA    4   CR       1/2   TR  0   CH  4   NT  D             3/8
BA    4   CR         1   TR  0   CH  4   NT  Bb            3/8
BA    4   CR         1   TR  0   CH  4   NT  F             3/8
BA    4   CR         1   TR  0   CH  4   NT  D             3/8
BA    4   CR     1+1/2   TR  0   CH  4   NT  A             3/8
BA    4   CR     1+1/2   TR  0   CH  4   NT  F             3/8
BA    4   CR     1+1/2   TR  0   CH  4   NT  C             3/8
BA    4   CR         2   TR  0   CH  4   NT  Bb            3/8
BA    4   CR         2   TR  0   CH  4   NT  G             3/8
BA    4   CR         2   TR  0   CH  4   NT  D             3/8
BA    4   CR     2+1/2   TR  0   CH  4   NT  C'            3/8
BA    4   CR     2+1/2   TR  0   CH  4   NT  G             3/8
BA    4   CR     2+1/2   TR  0   CH  4   NT  E             3/8
BA    4   CR    2+7/12   TR  0   CH 10   Channel volume 1
BA    4   CR         3   TR  0   CH  4   NT  Bb            3/8
BA    4   CR         3   TR  0   CH  4   NT  G             3/8
BA    4   CR         3   TR  0   CH  4   NT  D             3/8
BA    4   CR         3   TR  0   CH 10   Channel volume 2
BA    4   CR    3+1/24   TR  0   CH 10   Channel volume 3
BA    4   CR    3+1/12   TR  0   CH 10   Channel volume 6
BA    4   CR    3+1/12   TR  0   CH 10   Channel volume 7
BA    4   CR     3+1/8   TR  0   CH 10   Channel volume 9
BA    4   CR     3+1/8   TR  0   CH 10   Channel volume 12
BA    4   CR     3+1/8   TR  0   CH 10   Channel volume 15
BA    4   CR     3+1/6   TR  0   CH 10   Channel volume 19
BA    4   CR     3+1/6   TR  0   CH 10   Channel volume 23
BA    4   CR    3+5/24   TR  0   CH 10   Channel volume 29
BA    4   CR    3+5/24   TR  0   CH 10   Channel volume 35
BA    4   CR     3+1/4   TR  0   CH 10   Channel volume 42
BA    4   CR     3+1/4   TR  0   CH 10   Channel volume 49
BA    4   CR    3+7/24   TR  0   CH 10   Channel volume 57
BA    4   CR  3+37/120   TR  0   CH 10   Channel volume 65
BA    4   CR  3+37/120   TR  0   CH 10   Channel volume 72
BA    4   CR  3+37/120   TR  0   CH 10   Channel volume 81
BA    4   CR    3+7/20   TR  0   CH 10   Channel volume 88
BA    4   CR     3+3/8   TR  0   CH 10   Channel volume 95
BA    4   CR     3+3/8   TR  0   CH 10   Channel volume 102
BA    4   CR    3+5/12   TR  0   CH 10   Channel volume 106
BA    4   CR    3+5/12   TR  0   CH 10   Channel volume 111
BA    4   CR   3+11/24   TR  0   CH 10   Channel volume 115
BA    4   CR   3+11/24   TR  0   CH 10   Channel volume 120
BA    4   CR   3+11/24   TR  0   CH 10   Channel volume 123
BA    4   CR     3+1/2   TR  0   CH  4   NT  C'            3/8
BA    4   CR     3+1/2   TR  0   CH  4   NT  G             3/8
BA    4   CR     3+1/2   TR  0   CH  4   NT  E             3/8
BA    4   CR     3+1/2   TR  0   CH 10   Channel volume 126
BA    4   CR     3+1/2   TR  0   CH 10   Channel volume 127

BA    5   CR         0   TR  0   CH  3   NT  D-              6
BA    5   CR         0   TR  0   CH  4   NT  D               4
BA    5   CR         0   TR  0   CH  4   NT  D'              4
BA    5   CR       1/2   TR  0   CH  4   NT  D-            1/2
BA    5   CR         1   TR  0   CH  4   NT  D-            1/2
BA    5   CR     1+1/2   TR  0   CH  4   NT  D-            1/2
BA    5   CR     2+1/2   TR  0   CH  4   NT  D-            1/2
BA    5   CR     2+1/2   TR  0   CH  7   NT  D-            1/2
BA    5   CR         3   TR  0   CH  4   NT  D-            1/2
BA    5   CR         3   TR  0   CH  7   NT  D-            1/2
BA    5   CR     3+1/2   TR  0   CH  4   NT  D-            1/2
BA    5   CR     3+1/2   TR  0   CH  7   NT  D-            1/2

BA    6   CR         0   TR  0   CH  7   NT  D--           1/2
BA    6   CR       1/2   TR  0   CH  7   NT  D-            1/2
BA    6   CR       1/2   TR  0   CH 10   NT  G#--          1/2
BA    6   CR         1   TR  0   CH  7   NT  G-            1/2
BA    6   CR         1   TR  0   CH 10   NT  G#--          1/2
BA    6   CR         1   TR  0   CH 10   NT  G---          1/2
BA    6   CR     1+1/2   TR  0   CH  7   NT  D             1/2
BA    6   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA    6   CR         2   TR  0   CH  7   NT  G             1/2
BA    6   CR     2+1/4   TR  0   CH  8   NT  G'            1/4   von=127
BA    6   CR     2+1/2   TR  0   CH  8   NT  F'            1/4
BA    6   CR     2+1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA    6   CR     2+3/4   TR  0   CH  8   NT  F#'           1/4   von=127
BA    6   CR         3   TR  0   CH  7   NT  C'            1/2   von=100
BA    6   CR         3   TR  0   CH  8   NT  G'            1/4   von=127
BA    6   CR         3   TR  0   CH 10   NT  G---          1/2   von=100
BA    6   CR         3   TR  0   CH 10   NT  G#--          1/2
BA    6   CR     3+1/4   TR  0   CH  8   NT  G#'           1/4   von=127
BA    6   CR     3+1/2   TR  0   CH  8   NT  A'            1/4
BA    6   CR     3+1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA    6   CR     3+3/4   TR  0   CH  8   NT  Bb'           1/4   von=127

BA    7   CR         0   TR  0   CH  2   NT  C-              1   von=90
BA    7   CR         0   TR  0   CH  8   NT  B'            1/4   von=127
BA    7   CR         0   TR  0   CH  9   NT  C-              1   von=100
BA    7   CR       1/2   TR  0   CH  4   NT  D'            1/4
BA    7   CR       1/2   TR  0   CH  4   NT  B             1/4
BA    7   CR       1/2   TR  0   CH  4   NT  F#'           1/4
BA    7   CR       1/2   TR  0   CH 10   NT  G#--          1/2
BA    7   CR         1   TR  0   CH  4   NT  D'            1/4
BA    7   CR         1   TR  0   CH  4   NT  B             1/4
BA    7   CR         1   TR  0   CH  4   NT  F#'           1/4
BA    7   CR         1   TR  0   CH 10   NT  B-            1/2
BA    7   CR         1   TR  0   CH 10   NT  G---          1/2
BA    7   CR     1+1/2   TR  0   CH  2   NT  G--             1   von=90
BA    7   CR     1+1/2   TR  0   CH  9   NT  G--             1   von=100
BA    7   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA    7   CR         2   TR  0   CH  4   NT  D'            1/4
BA    7   CR         2   TR  0   CH  4   NT  B             1/4
BA    7   CR         2   TR  0   CH  4   NT  F#'           1/4
BA    7   CR     2+1/2   TR  0   CH  4   NT  D'            1/4
BA    7   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA    7   CR     2+1/2   TR  0   CH  4   NT  F#'           1/4
BA    7   CR     2+1/2   TR  0   CH 10   NT  G---          1/2
BA    7   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA    7   CR         3   TR  0   CH  2   NT  C-            3/4   von=90
BA    7   CR         3   TR  0   CH  9   NT  C-            3/4   von=100
BA    7   CR         3   TR  0   CH 10   NT  A             1/2
BA    7   CR         3   TR  0   CH 10   NT  G#--          1/2
BA    7   CR     3+1/2   TR  0   CH  4   NT  D'            1/4
BA    7   CR     3+1/2   TR  0   CH  4   NT  B             1/4
BA    7   CR     3+1/2   TR  0   CH  4   NT  F#'           1/4

BA    8   CR         0   TR  0   CH  2   NT  C-              1   von=90
BA    8   CR         0   TR  0   CH  9   NT  C-              1   von=100
BA    8   CR       1/2   TR  0   CH  4   NT  D'            1/4
BA    8   CR       1/2   TR  0   CH  4   NT  B             1/4
BA    8   CR       1/2   TR  0   CH  4   NT  F#'           1/4
BA    8   CR       1/2   TR  0   CH 10   NT  G#--          1/2
BA    8   CR         1   TR  0   CH  4   NT  D'            1/4
BA    8   CR         1   TR  0   CH  4   NT  B             1/4
BA    8   CR         1   TR  0   CH  4   NT  F#'           1/4
BA    8   CR         1   TR  0   CH 10   NT  B-            1/2
BA    8   CR         1   TR  0   CH 10   NT  G---          1/2
BA    8   CR     1+1/2   TR  0   CH  2   NT  G--             1   von=90
BA    8   CR     1+1/2   TR  0   CH  9   NT  G--             1   von=100
BA    8   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA    8   CR         2   TR  0   CH  4   NT  D'            1/4
BA    8   CR         2   TR  0   CH  4   NT  B             1/4
BA    8   CR         2   TR  0   CH  4   NT  F#'           1/4
BA    8   CR     2+1/2   TR  0   CH  4   NT  D'            1/4
BA    8   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA    8   CR     2+1/2   TR  0   CH  4   NT  F#'           1/4
BA    8   CR     2+1/2   TR  0   CH 10   NT  G---          1/2
BA    8   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA    8   CR         3   TR  0   CH  2   NT  C-            3/4   von=90
BA    8   CR         3   TR  0   CH  9   NT  C-            3/4   von=100
BA    8   CR         3   TR  0   CH 10   NT  A             1/2
BA    8   CR         3   TR  0   CH 10   NT  G#--          1/2
BA    8   CR     3+1/2   TR  0   CH  4   NT  D'            1/4
BA    8   CR     3+1/2   TR  0   CH  4   NT  B             1/4
BA    8   CR     3+1/2   TR  0   CH  4   NT  F#'           1/4

BA    9   CR         0   TR  0   CH  2   NT  F--             1   von=90
BA    9   CR         0   TR  0   CH  9   NT  F--             1   von=100
BA    9   CR       1/2   TR  0   CH  4   NT  C'            1/4
BA    9   CR       1/2   TR  0   CH  4   NT  A             1/4
BA    9   CR       1/2   TR  0   CH  4   NT  E'            1/4
BA    9   CR       1/2   TR  0   CH 10   NT  G#--          1/2
BA    9   CR         1   TR  0   CH  4   NT  C'            1/4
BA    9   CR         1   TR  0   CH  4   NT  A             1/4
BA    9   CR         1   TR  0   CH  4   NT  E'            1/4
BA    9   CR         1   TR  0   CH 10   NT  B-            1/2
BA    9   CR         1   TR  0   CH 10   NT  G---          1/2
BA    9   CR     1+1/2   TR  0   CH  2   NT  C-              1   von=90
BA    9   CR     1+1/2   TR  0   CH  9   NT  C-              1   von=100
BA    9   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA    9   CR         2   TR  0   CH  4   NT  C'            1/4
BA    9   CR         2   TR  0   CH  4   NT  A             1/4
BA    9   CR         2   TR  0   CH  4   NT  E'            1/4
BA    9   CR     2+1/2   TR  0   CH  4   NT  C'            1/4
BA    9   CR     2+1/2   TR  0   CH  4   NT  A             1/4
BA    9   CR     2+1/2   TR  0   CH  4   NT  E'            1/4
BA    9   CR     2+1/2   TR  0   CH 10   NT  G---          1/2
BA    9   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA    9   CR         3   TR  0   CH  2   NT  F--           3/4   von=90
BA    9   CR         3   TR  0   CH  9   NT  F--           3/4   von=100
BA    9   CR         3   TR  0   CH 10   NT  A             1/2
BA    9   CR         3   TR  0   CH 10   NT  G#--          1/2
BA    9   CR     3+1/2   TR  0   CH  4   NT  C'            1/4
BA    9   CR     3+1/2   TR  0   CH  4   NT  A             1/4
BA    9   CR     3+1/2   TR  0   CH  4   NT  E'            1/4

BA   10   CR         0   TR  0   CH  2   NT  G--             1   von=90
BA   10   CR         0   TR  0   CH  9   NT  G--             1   von=100
BA   10   CR       1/2   TR  0   CH  4   NT  C'            1/4
BA   10   CR       1/2   TR  0   CH  4   NT  A             1/4
BA   10   CR       1/2   TR  0   CH  4   NT  E'            1/4
BA   10   CR       1/2   TR  0   CH 10   NT  G#--          1/2
BA   10   CR         1   TR  0   CH  4   NT  C'            1/4
BA   10   CR         1   TR  0   CH  4   NT  A             1/4
BA   10   CR         1   TR  0   CH  4   NT  E'            1/4
BA   10   CR         1   TR  0   CH 10   NT  B-            1/2
BA   10   CR         1   TR  0   CH 10   NT  G---          1/2
BA   10   CR     1+1/2   TR  0   CH  2   NT  D-              1   von=90
BA   10   CR     1+1/2   TR  0   CH  9   NT  D-              1   von=100
BA   10   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA   10   CR         2   TR  0   CH  4   NT  B             1/4
BA   10   CR         2   TR  0   CH  4   NT  A             1/4
BA   10   CR         2   TR  0   CH  4   NT  D'            1/4
BA   10   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA   10   CR     2+1/2   TR  0   CH  4   NT  A             1/4
BA   10   CR     2+1/2   TR  0   CH  4   NT  D'            1/4
BA   10   CR     2+1/2   TR  0   CH 10   NT  G---          1/2
BA   10   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA   10   CR         3   TR  0   CH  2   NT  G--           3/4   von=90
BA   10   CR         3   TR  0   CH  9   NT  G--           3/4   von=100
BA   10   CR         3   TR  0   CH 10   NT  A             1/2
BA   10   CR         3   TR  0   CH 10   NT  G#--          1/2
BA   10   CR     3+1/2   TR  0   CH  4   NT  B             1/4
BA   10   CR     3+1/2   TR  0   CH  4   NT  A             1/4
BA   10   CR     3+1/2   TR  0   CH  4   NT  D'            1/4
BA   10   CR     3+1/2   TR  0   CH 10   NT  F---          1/2

BA   11   CR         0   TR  0   CH  1   NT  C''             1   von=80
BA   11   CR         0   TR  0   CH  2   NT  C-              1   von=90
BA   11   CR         0   TR  0   CH  6   NT  D'            3/4
BA   11   CR         0   TR  0   CH  6   NT  F#'           1/2
BA   11   CR         0   TR  0   CH  9   NT  C-              1   von=100
BA   11   CR       1/2   TR  0   CH  4   NT  D'            1/4
BA   11   CR       1/2   TR  0   CH  4   NT  B             1/4
BA   11   CR       1/2   TR  0   CH  4   NT  F#'           1/4
BA   11   CR       1/2   TR  0   CH  6   NT  G'            1/4   von=90
BA   11   CR       1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA   11   CR         1   TR  0   CH  4   NT  D'            1/4
BA   11   CR         1   TR  0   CH  4   NT  B             1/4
BA   11   CR         1   TR  0   CH  4   NT  F#'           1/4
BA   11   CR         1   TR  0   CH  6   NT  G'            1/2   von=90
BA   11   CR         1   TR  0   CH 10   NT  B-            1/2   von=100
BA   11   CR         1   TR  0   CH 10   NT  G---          1/2
BA   11   CR     1+1/2   TR  0   CH  1   NT  G'              1   von=80
BA   11   CR     1+1/2   TR  0   CH  2   NT  G--             1   von=90
BA   11   CR     1+1/2   TR  0   CH  6   NT  D'            3/4
BA   11   CR     1+1/2   TR  0   CH  6   NT  F#'           1/2
BA   11   CR     1+1/2   TR  0   CH  9   NT  G--             1   von=100
BA   11   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA   11   CR         2   TR  0   CH  4   NT  D'            1/4
BA   11   CR         2   TR  0   CH  4   NT  B             1/4
BA   11   CR         2   TR  0   CH  4   NT  F#'           1/4
BA   11   CR         2   TR  0   CH  6   NT  G'            1/4   von=90
BA   11   CR     2+1/2   TR  0   CH  4   NT  D'            1/4   von=100
BA   11   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA   11   CR     2+1/2   TR  0   CH  4   NT  F#'           1/4
BA   11   CR     2+1/2   TR  0   CH  6   NT  G'            1/2   von=90
BA   11   CR     2+1/2   TR  0   CH 10   NT  G---          1/2   von=100
BA   11   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA   11   CR         3   TR  0   CH  1   NT  C''           3/4   von=80
BA   11   CR         3   TR  0   CH  2   NT  C-            3/4   von=90
BA   11   CR         3   TR  0   CH  6   NT  D'            3/4
BA   11   CR         3   TR  0   CH  6   NT  F#'           1/2
BA   11   CR         3   TR  0   CH  9   NT  C-            3/4   von=100
BA   11   CR         3   TR  0   CH 10   NT  A             1/2
BA   11   CR         3   TR  0   CH 10   NT  G#--          1/2
BA   11   CR     3+1/2   TR  0   CH  4   NT  D'            1/4
BA   11   CR     3+1/2   TR  0   CH  4   NT  B             1/4
BA   11   CR     3+1/2   TR  0   CH  4   NT  F#'           1/4
BA   11   CR     3+1/2   TR  0   CH  6   NT  G'            1/4   von=90

BA   12   CR         0   TR  0   CH  1   NT  C''             1   von=80
BA   12   CR         0   TR  0   CH  2   NT  C-              1   von=90
BA   12   CR         0   TR  0   CH  6   NT  D'            3/4
BA   12   CR         0   TR  0   CH  6   NT  F#'           1/2
BA   12   CR         0   TR  0   CH  9   NT  C-              1   von=100
BA   12   CR       1/2   TR  0   CH  4   NT  D'            1/4
BA   12   CR       1/2   TR  0   CH  4   NT  B             1/4
BA   12   CR       1/2   TR  0   CH  4   NT  F#'           1/4
BA   12   CR       1/2   TR  0   CH  6   NT  G'            1/4   von=90
BA   12   CR       1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA   12   CR         1   TR  0   CH  4   NT  D'            1/4
BA   12   CR         1   TR  0   CH  4   NT  B             1/4
BA   12   CR         1   TR  0   CH  4   NT  F#'           1/4
BA   12   CR         1   TR  0   CH  6   NT  G'            1/2   von=90
BA   12   CR         1   TR  0   CH 10   NT  B-            1/2   von=100
BA   12   CR         1   TR  0   CH 10   NT  G---          1/2
BA   12   CR     1+1/2   TR  0   CH  1   NT  G'              1   von=80
BA   12   CR     1+1/2   TR  0   CH  2   NT  G--             1   von=90
BA   12   CR     1+1/2   TR  0   CH  6   NT  D'            3/4
BA   12   CR     1+1/2   TR  0   CH  6   NT  F#'           1/2
BA   12   CR     1+1/2   TR  0   CH  9   NT  G--             1   von=100
BA   12   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA   12   CR         2   TR  0   CH  4   NT  D'            1/4
BA   12   CR         2   TR  0   CH  4   NT  B             1/4
BA   12   CR         2   TR  0   CH  4   NT  F#'           1/4
BA   12   CR         2   TR  0   CH  6   NT  G'            1/4   von=90
BA   12   CR     2+1/2   TR  0   CH  4   NT  D'            1/4   von=100
BA   12   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA   12   CR     2+1/2   TR  0   CH  4   NT  F#'           1/4
BA   12   CR     2+1/2   TR  0   CH  6   NT  G'            1/2   von=90
BA   12   CR     2+1/2   TR  0   CH 10   NT  G---          1/2   von=100
BA   12   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA   12   CR         3   TR  0   CH  1   NT  C''           3/4   von=80
BA   12   CR         3   TR  0   CH  2   NT  C-            3/4   von=90
BA   12   CR         3   TR  0   CH  6   NT  D'            3/4
BA   12   CR         3   TR  0   CH  6   NT  F#'           1/2
BA   12   CR         3   TR  0   CH  9   NT  C-            3/4   von=100
BA   12   CR         3   TR  0   CH 10   NT  A             1/2
BA   12   CR         3   TR  0   CH 10   NT  G#--          1/2
BA   12   CR     3+1/2   TR  0   CH  4   NT  D'            1/4
BA   12   CR     3+1/2   TR  0   CH  4   NT  B             1/4
BA   12   CR     3+1/2   TR  0   CH  4   NT  F#'           1/4
BA   12   CR     3+1/2   TR  0   CH  6   NT  G'            1/4   von=90

BA   13   CR         0   TR  0   CH  1   NT  F'              1   von=80
BA   13   CR         0   TR  0   CH  2   NT  F--             1   von=90
BA   13   CR         0   TR  0   CH  6   NT  E'            3/4
BA   13   CR         0   TR  0   CH  6   NT  G#'           1/2
BA   13   CR         0   TR  0   CH  9   NT  F--             1   von=100
BA   13   CR       1/2   TR  0   CH  4   NT  C'            1/4
BA   13   CR       1/2   TR  0   CH  4   NT  A             1/4
BA   13   CR       1/2   TR  0   CH  4   NT  E'            1/4
BA   13   CR       1/2   TR  0   CH  6   NT  A'            1/4   von=90
BA   13   CR       1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA   13   CR         1   TR  0   CH  4   NT  C'            1/4
BA   13   CR         1   TR  0   CH  4   NT  A             1/4
BA   13   CR         1   TR  0   CH  4   NT  E'            1/4
BA   13   CR         1   TR  0   CH  6   NT  A'            1/2   von=90
BA   13   CR         1   TR  0   CH 10   NT  B-            1/2   von=100
BA   13   CR         1   TR  0   CH 10   NT  G---          1/2
BA   13   CR     1+1/2   TR  0   CH  1   NT  C''             1   von=80
BA   13   CR     1+1/2   TR  0   CH  2   NT  C-              1   von=90
BA   13   CR     1+1/2   TR  0   CH  6   NT  E'            3/4
BA   13   CR     1+1/2   TR  0   CH  6   NT  G#'           1/2
BA   13   CR     1+1/2   TR  0   CH  9   NT  C-              1   von=100
BA   13   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA   13   CR         2   TR  0   CH  4   NT  C'            1/4
BA   13   CR         2   TR  0   CH  4   NT  A             1/4
BA   13   CR         2   TR  0   CH  4   NT  E'            1/4
BA   13   CR         2   TR  0   CH  6   NT  A'            1/4   von=90
BA   13   CR     2+1/2   TR  0   CH  4   NT  C'            1/4   von=100
BA   13   CR     2+1/2   TR  0   CH  4   NT  A             1/4
BA   13   CR     2+1/2   TR  0   CH  4   NT  E'            1/4
BA   13   CR     2+1/2   TR  0   CH  6   NT  A'            1/2   von=90
BA   13   CR     2+1/2   TR  0   CH 10   NT  G---          1/2   von=100
BA   13   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA   13   CR         3   TR  0   CH  1   NT  F'            3/4   von=80
BA   13   CR         3   TR  0   CH  2   NT  F--           3/4   von=90
BA   13   CR         3   TR  0   CH  6   NT  E'            3/4
BA   13   CR         3   TR  0   CH  6   NT  G#'           1/2
BA   13   CR         3   TR  0   CH  9   NT  F--           3/4   von=100
BA   13   CR         3   TR  0   CH 10   NT  A             1/2
BA   13   CR         3   TR  0   CH 10   NT  G#--          1/2
BA   13   CR     3+1/2   TR  0   CH  4   NT  C'            1/4
BA   13   CR     3+1/2   TR  0   CH  4   NT  A             1/4
BA   13   CR     3+1/2   TR  0   CH  4   NT  E'            1/4
BA   13   CR     3+1/2   TR  0   CH  6   NT  A'            1/4   von=90

BA   14   CR         0   TR  0   CH  1   NT  G'              1   von=80
BA   14   CR         0   TR  0   CH  2   NT  G--             1   von=90
BA   14   CR         0   TR  0   CH  6   NT  G             1/2
BA   14   CR         0   TR  0   CH  6   NT  B'            1/2
BA   14   CR         0   TR  0   CH  9   NT  G--             1   von=100
BA   14   CR       1/2   TR  0   CH  4   NT  C'            1/4
BA   14   CR       1/2   TR  0   CH  4   NT  A             1/4
BA   14   CR       1/2   TR  0   CH  4   NT  E'            1/4
BA   14   CR       1/2   TR  0   CH  6   NT  F#            1/2   von=90
BA   14   CR       1/2   TR  0   CH  6   NT  A'            1/2
BA   14   CR       1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA   14   CR         1   TR  0   CH  4   NT  C'            1/4
BA   14   CR         1   TR  0   CH  4   NT  A             1/4
BA   14   CR         1   TR  0   CH  4   NT  E'            1/4
BA   14   CR         1   TR  0   CH  6   NT  G             1/2   von=90
BA   14   CR         1   TR  0   CH  6   NT  B'            1/2
BA   14   CR         1   TR  0   CH 10   NT  B-            1/2   von=100
BA   14   CR         1   TR  0   CH 10   NT  G---          1/2
BA   14   CR     1+1/2   TR  0   CH  1   NT  D''             1   von=80
BA   14   CR     1+1/2   TR  0   CH  2   NT  D-              1   von=90
BA   14   CR     1+1/2   TR  0   CH  6   NT  E             1/2
BA   14   CR     1+1/2   TR  0   CH  6   NT  C''           1/2
BA   14   CR     1+1/2   TR  0   CH  9   NT  D-              1   von=100
BA   14   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA   14   CR         2   TR  0   CH  4   NT  B             1/4
BA   14   CR         2   TR  0   CH  4   NT  A             1/4
BA   14   CR         2   TR  0   CH  4   NT  D'            1/4
BA   14   CR     2+1/2   TR  0   CH  4   NT  B             1/4
BA   14   CR     2+1/2   TR  0   CH  4   NT  A             1/4
BA   14   CR     2+1/2   TR  0   CH  4   NT  D'            1/4
BA   14   CR     2+1/2   TR  0   CH  6   NT  Eb            1/2   von=90
BA   14   CR     2+1/2   TR  0   CH  6   NT  C#''          1/2
BA   14   CR     2+1/2   TR  0   CH 10   NT  G---          1/2   von=100
BA   14   CR     2+1/2   TR  0   CH 10   NT  B-            1/2
BA   14   CR         3   TR  0   CH  1   NT  G'            3/4   von=80
BA   14   CR         3   TR  0   CH  2   NT  G--           3/4   von=90
BA   14   CR         3   TR  0   CH  6   NT  D             1/2
BA   14   CR         3   TR  0   CH  6   NT  D''           1/2
BA   14   CR         3   TR  0   CH  9   NT  G--           3/4   von=100
BA   14   CR         3   TR  0   CH 10   NT  A             1/2
BA   14   CR         3   TR  0   CH 10   NT  G#--          1/2
BA   14   CR     3+1/2   TR  0   CH  4   NT  B             1/4
BA   14   CR     3+1/2   TR  0   CH  4   NT  A             1/4
BA   14   CR     3+1/2   TR  0   CH  4   NT  D'            1/4
BA   14   CR     3+1/2   TR  0   CH 10   NT  F---          1/2

BA   15   CR         0   TR  0   CH  1   NT  C''             1   von=80
BA   15   CR         0   TR  0   CH  2   NT  C-              1   von=90
BA   15   CR         0   TR  0   CH  6   NT  D'            3/4
BA   15   CR         0   TR  0   CH  6   NT  F#'           1/2
BA   15   CR         0   TR  0   CH  9   NT  C-              1   von=100
BA   15   CR       1/2   TR  0   CH  4   NT  D'            1/4
BA   15   CR       1/2   TR  0   CH  4   NT  B             1/4
BA   15   CR       1/2   TR  0   CH  4   NT  F#'           1/4
BA   15   CR       1/2   TR  0   CH  6   NT  G'            1/4   von=90
BA   15   CR       1/2   TR  0   CH 10   NT  G#--          1/2   von=100
BA   15   CR         1   TR  0   CH  4   NT  D'            1/4
BA   15   CR         1   TR  0   CH  4   NT  B             1/4
BA   15   CR         1   TR  0   CH  4   NT  F#'           1/4
BA   15   CR         1   TR  0   CH  6   NT  G'            1/2   von=90
BA   15   CR         1   TR  0   CH 10   NT  B-            1/2   von=100
BA   15   CR         1   TR  0   CH 10   NT  G---          1/2
BA   15   CR     1+1/4   TR  0   CH  4   Channel volume 127
BA   15   CR    1+7/24   TR  0   CH 10   Channel volume 127
BA   15   CR     1+3/8   TR  0   CH  6   Channel volume 127
BA   15   CR     1+1/2   TR  0   CH  1   NT  G'              1   von=80
BA   15   CR     1+1/2   TR  0   CH  2   NT  G--             1   von=90
BA   15   CR     1+1/2   TR  0   CH  6   NT  D'            3/4
BA   15   CR     1+1/2   TR  0   CH  6   NT  F#'           1/2
BA   15   CR     1+1/2   TR  0   CH  9   NT  G--             1   von=100
BA   15   CR     1+1/2   TR  0   CH 10   NT  G#--          1/2
BA   15   CR   1+59/60   TR  0   CH 10   Channel volume 126
BA   15   CR         2   TR  0   CH  4   NT  D'            1/4
BA   15   CR         2   TR  0   CH  4   NT  B             1/4
BA   15   CR         2   TR  0   CH  4   NT  F#'           1/4
BA   15   CR         2   TR  0   CH  6   NT  G'            1/4   von=90
BA   15   CR    2+1/24   TR  0   CH 10   Channel volume 125
BA   15   CR    2+1/24   TR  0   CH 10   Channel volume 124
BA   15   CR    2+1/12   TR  0   CH 10   Channel volume 123
BA   15   CR     2+1/6   TR  0   CH 10   Channel volume 122
